label,message,,,
spam,Recharge Alert from MTS : Validity of expiry on your MTS Data Card has already EXPIRED. Recharge with monthly STVs to continue usage - MTS,,,
ham,"In case of fire read this message..............I SAID IN CASE OF FIRE YOU GOBAR!
",,,
ham,"i ws hoping fone abruptly na cut ho jae. khair newyz. nw fone battery is also gng down. luv u, tc, gn, swt drms, keep smiling :)
",,,
ham,"i ask dad d plan u proposed for d evening. didn tell him tht i wud be picking u up. n evn sed he cn pick me up wenevr he deems fit. n he ws being all funy abt it (aka nt agreeing aaram se). told him oder option ws i go alone n tht u din wan tht. he ws lyk i go wid him, bt i sed i didn wana go wid him. sed he also wants to tok to me abt d latest things. he expects u to move mountains to prove ur worthiness to hav me (figuratively) :/ den he hd to go, so disconnected without giving me any ans.
",,,
ham,"INDIAN-GIRL:Mere4 Bhai & 6Behne Hai Aap K Kitne Hai? AMERICAN-GIRL: Mere Bhai,Behen Nahi Par Pehli Mom Se 3 Papa Aur Pehle Papa Se 4 Mom Hai.
",,,
ham,"India(Ram) married World Cup(Sita) in 1983 & in 1996 Srilanka(Raavan) took away Sita(World Cup).Now after 14 yrs of Vanvaas,they meet again,you know the result.
",,,
ham,"i This is a Group message..... We are planning a group meeting tomorrow....so that we can combine things and have working model by monday.....So evryone is requested to be there in meeting tomorrow....I have mailed on google groups also regarding the same....This message is to ensure that everyone knows about the meeting......Please read the mail as thr is some more information!! @Lakshay please convey the message to your other group members as I am not having their phone numbers...
",,,
ham,"I m nt getng anythng. We wil talk 2mrw abt dat.
",,,
ham,"ibility whatsoever 4any mistakes.Whatever I hv written is truly fictitious& any resemblance with d Subject Matter is purly Coincidental
",,,
spam,"Missed out DDA Scheme! Chance to own a flat in Delhi NCR.SMS DNA 25 to 54545.
",,,
spam,"Now get SMS2.0 and send 2 FREE COLOUR SMS to ur friends everyday. Also get FREE FIFA, Jokes, Movies content.Click on http://125.21.241.77/d to get SMS2.0 for free.
",,,
ham,"I didnt hav balance yesterday tats wy cant able to msg
",,,
ham,"If you have the will to win, you have achieved half your success. If you dont, you have achieved half your failure. . Good morning Jai sri ram :-)
",,,
spam,"Partying tonight? Drink but don't drive. Book a Meru to enjoy a comfortable ride home. Call Meru on 44224422 or log on to www.merucabs.com - Meru Cabs,  Delhi",,,
spam,"Present your child the enjoyment of Kids' Paradise at Rs 60 only (70% off). To get the deal,  visit www.snapdeal.com",,,
ham,"I m in ma rum. I cm bk bcz i wana ;-(
",,,
spam,"Rs1000/- off on Treatment for Hairloss, Skin disease, Asthma, Allergies, obesity etc.Homeopathy assures fast, safe cure.sms MEDI to 58888 NOW.",,,
ham,"Whose rt? And abstract theme.. Draw anything u want. 
",,,
spam,"Welcome To SBI, AXIS & Other MNC Banks-home loan, car loan & LAP. Total 15 working days. Interested Call On....This no....LALIT, POOJA--7428124991 --9250121002
",,,
ham,"In an interviewInterviewer: How does an electric motor run?Santa: Dhhuuuurrrrrrrrrr. Inteviewer shouts: Stop it.Santa: Dhhuurrrr dhup dh*smsgupshup.com
",,,
spam,pecial Offer for Delhi customers. Recharge with Rs75 while on Roaming any where across India & get Full Talktime of Rs75. Talktime valid for 7 days,,,
ham,"I hate life somebody said to God.. God replied Who asked u to love life? Just love a person who loves u and life will be beautiful on its own.
",,,
ham,"irl 2 Baba Ramdev if I Kiss a Boy Wat Wil Hppn.Baba-Narak me Jaoge.Girl-Acha Apko Karu to?Baba-Chalak Ladki Swarg Mai Jana Chahti Hai....
",,,
ham,"INDIAN GIRLS THROUGH THE YEARS: 1980=Love Me But don't touch Me. 1990=Touch Me But don't kiss Me. 2000=Kiss Me But or kuch Mat Karna. 2005:sab kuch Kar lo par kisi ko Batana nahi. 2010:sub kuch Karo Warna, Mai sub ko Bata Dungi ki Tum Kuch nahi kar Saktay . . . .;-). . .:-P 
",,,
spam,REE opening & Lower brokerage on Sharekhan's Trading & Demat a/c. Valid on all AMC plans. sms SK to 56070 for more T&C Appl,,,
spam,"Meet The Characters,Meet the mutants of 'X-Men: First Class'! Choose a character to find out what powers they possess:
1) Havoc
2) Mystique
3) Beast
4) Banshee
^1/2/3/4
Reply to get a video clip.
",,,
ham,"INDIANEWSLINE AP High Court grants bail 2Rama Raju,4 others Uttarbanga driver violated red signal-Signal in-charge Syria bans Islamic veil at universities
",,,
spam,"Manipal University's Master of Science Technology Programs for IT Professionals. Weekend Classes. Admissions Open Jan 2012 Batch. For Details sms MU to 56070.
",,,
ham,"idiot...
",,,
spam,"YOUR WAIT IS OVER TO OWN A DREAM HOME!!Today Homes CALLIDORA , 2/3BHK appt at Sohna Road @4150/sqft.90mts wide road & proposed metro.Call Agni 1800-102-2224 NOW",,,
ham,"I WUD LUV TO... n ve bn tryn to cnvnce mum n sis a hel lot..rly wan to cm cuz its d last day n al..aur kya bolun ya?.. Finally aftr so lng our stupid fights ve ended! D farewels suposd to b rlyyy spcl! Jus 3 hrs ya..plzzz aaaajaaaaooo!! Rply..
",,,
ham,"I,kshitij propose u 4 a lyftym frndsip.Wid full dedication.No complaints, no Demandss..Wt say..?Hapy frndsip day in adv..do reply if u accept my frndsip.?Gn
",,,
ham,"If u delete this msg u wil fail in every exams in ur life 2008-09. Say SAI BABA KI JAI n fwd to 5 ppl excpt me imm...i m sorry.. Mujhe fasaya gaya hai..
",,,
ham,"I 
",,,
spam,"Most awaited project of 2011 amrapali prsnts Luxurious 2/3/4BHK
",,,
spam,"Original booking open for Plots (Golf Course) at yamuna Xway (reputed builder) size-150 sqyd & also resale option available,  Estate Promoters 9711131803 /4
",,,
ham,"I m attndng d clas as pri ne kaha h ki ma'am se bat krni h toh phr clas attnd karni padhegi.
",,,
spam,"Seen Tintin Yet?,Have u seen ‘Tintin: The Secret of the Unicorn’ yet? ^Yes/ No
All your replies to Blyk on Aircel are free.",,,
ham,"indgi me Hmesha1 Baat YAAD Rakho. Kbhi kisi ka Dil nhi todna chahye. Qk DiL1hi hota hai . . . . . . . . . .. Todna hi h to uski HADDIYA todo 206 hoti h;-
",,,
ham,"I was hoping we could skype-study again today. Bt ur nt evn home. N iv been wanting 2 tok 4 quite sum tym. :-/ I evn hd 2 tel u hw u wer right abt my angry look. :* ^_^ and i also wanted 2 kno exactly wot is sumit-stuti's situation. Also did u tell aman abt us. Wot r ur plans 4 tom. C v hv so mch 2 tok!
",,,
ham,"i want you to call me and rectify things.
",,,
spam,"Oportunty to gt Asurd Rturn n Rsdntal Flat Pay Now 25% & Start geting 13% Asurd Return by Bokg 3 BHK Luxury Flat in FBD Sec 78 at 43 Lac Fr Bokg sms MR to 5616
",,,
spam,"Why to wait 3 years get possesion in 2012 Excellent Layouts Main Road Facing Project Exotica Eastern Court Crossing Republik Ghaziabad Best Deals 9871996001
",,,
spam,World Cup ke liye India tyaar hai aur ab aap bhi ho jaiye. subscribe kariye cricket alert by dialing *234*100# (Rs.30/mth) ya dial 5800032 (toll free).,,,
ham,"i said love you, when you disconnected.
",,,
spam,"Your Astro Today,Tell us your sunsign to know your today's forecast! Reply with your sunsign. E.g. 'Aries', if you were born in the month of April.
^Your sunsign
",,,
ham,"If ever u start missng ur school days ur class ur frnd circle ur canten or anythng abt ur schooling den jst open ur report cards sara nasha utar jaega :-Dgm 
",,,
ham,"Why do v Indians eagerly wish Frndshp day, Valentine day, Rose day, etc., b4 a week or few days, n feel proud dat v hav done a very great job.But y do things change wen it comes 2 our nation's Independance Day. Do v hav d same eagerness?Ans is ''NO'' So come lets change our view 2wrds our nation n stop giving priority 2 the western culture. Lets be INDIANs first. HAPPY INDEPENDANCE DAY.
",,,
ham,"I called u .but i too didnt hear anythin . So i but it. If u already guessed den wy u msged me .
",,,
ham,"ij.....Gud nite.
",,,
spam,"WINNING EDGE-for Advisors on PINNACLE CASE, Logins 1 to 28 FEB, Login 50,000 win 20GMS Silver, 1Lakh-Win .5Gms Gold+15GMS Silver, 1.7Lakh, 1.5GMS Gold.Much More.",,,
spam,"PEOPLE presents fashion 4 the street, not the ramp.Get awarded 4 voting.Show ur finger-mark & get 10% off @PEOPLE store on Ajmal Khan Road Karolbagh 01145097543",,,
spam,"Ordinary Facial gives ordinary results. Clinic Dermatechs Advanced Facial is simply incredible. For details sms CD to 53456/ visit www.clinicdermatech.co
",,,
spam,"PEOPLE-The Fashion Store announces its End of Season Sale. Discounts Upto 40% & other attractive offers. PEOPLE Store@Karol Bagh,  Ajmal Khan Rd. Ph - 45097543",,,
ham,"I will talk about this afterwards wen u ll be free.Oye dont use my name,do something else.He says u cant do anything. - Sent via WAY2SMS.COM
",,,
ham,"I m gng to tak bath...
",,,
spam,"Protect Ur Family with*NAZAR  RAKSHA SHAKTI KAWACH* Locket,  Bracelet & Amulet! As seen on TV Rs.2499 Offer Price.Rs.749 Booking Sms: NAZAR to 56767 www.rcmkt.in",,,
spam,"Rs3000 off on treatment for Hairloss, Skin diseases, Asthma, Allergies, Obesity etc.Homeopathy @ Dr.Batras assures Safe cure. sms CURE to 58888 fr an appointment",,,
ham,"i dont want to form silly ideas in my head as to why u guys threw out tht maid. i kno its ur parents' stuff. bt v share so mch wid each oder abt ourselves n our families n friends n others. i rely want to kno. thts all i cn say for nw...
",,,
ham,"If 2day a big fat man cmes 2 u & puts u in a big red bag. Don't get afraid plz, actualy i asked santa 2 gift me a gud frnd 4 dis xmas.  Mery chirtmas 
",,,
ham,"If u cn talk thru text, cn u jus tell me wot d hell is going on??? M rely getting vry pissed off frustrated and disturbed. N its betr if i don live in misconceptions.
",,,
spam,"Mobile Office & MMS is active on your number. To use these services,  pls save the settings you are about to receive. Visit Airtel Live for free Airtel Jingle. No activation charge or monthly rentals apply for Airtel Live and MMS. You only pay if you send an MMS or download content. For details call 121 (Toll free).
",,,
spam,"JOIN:-Training+Certified+100%JOB-(Rs 3000 Off in group)SCJP-JAVA, Android, iPhone, Mainframe, MCTS.Net4, Oracle, SQT, Embedded.Miracle, B-12, Sec2, Noida, 9311305845/6/7",,,
spam,"New version of way2sms.com has been rolled out exclusively for you.Login to way2sms.com and experience the all new way2sms with exciting features.-Way2SMS Team
",,,
spam,"Now get Savings + Wealth Creation + Guaranteed Returns with no risk of Market fluctuations.  All in one Wealth Plan. sms PD to 56070 to know more
",,,
spam,"nvst Rs16lac in fuly furnshd office space&amp; Earn Rs16K P.M wid bank gaurantee.NoidaExt.Hurry booking open avail best location &amp; inaugural disc. Sms IFI S?5303
",,,
spam,"mtd Edition!JP Kensington Blvrd@sec-131 Noida Xway.Combo of world class amenities& exclnt connectivity.1/2/3/4 BHKApts starting 16.20 Lac on DP CALL 965087777
",,,
spam,p/sec call Airtel par aur anya call 1.2 p/sec poore 1 saal ke liye! Saath hi Rs25 ka talktime Rs28 ke recharge par. Aaj hi apna mobile Rs28 se recharge karein,,,
ham,"Why does santa study in front of mirror? Bcoz 1)revision b sath mai ho jata h. 2)vo apne upr nazar rkh skta h. 3)use combind stdy psand h. 
",,,
ham,"i'm sure you know different ways to say not right now.
",,,
spam,"New year FREE gift pack of 25 Aroma candles n Holders MRP Rs1500 fr members,  just pay Rs 499 as handling charges on delivery.To Order sms CDS to 53636.TnC apply
",,,
ham,"i don't like not being able to reach you :(
",,,
ham,"I hate it whn sm1 hurt my frenzNt bcoz i feel for Dembt bcoz whn thy r hurt, dey bcum SADn wen they bcum SAdnalayak philosopher ban jate hai:-D
",,,
spam,"RC130-te Puro TT!Paan Rs130 main account TT totkhonat!Offr 04-06-11 porjonto.WB Class12 result jante sms korun WB12 space Roll No, pathan 543212222.Rs6/sms",,,
spam,"MRP : Rs. 54, SPL OFFER : Wth 180 Days Tariff validity! Recharge with Rs 54-Call any Airtel No in India Local & STD at 50p/min & any other Phone anywhere 9002191843:Its neither an end nor a beginning but a going on,  with all the wisdom that experience can instill in us. May each day of the coming year in India at 60p, TALKTIME : Rs. 0.01, VALIDITY : 0 days.be vibrant and new bringing along many reasons for celebrations.Wishing you and your family a very Happy and prosperous New Year.Sandeep Gattani.
",,,
ham,"If u hav any problems- bindas tel me, ill help u. if u dont hav any problems- bindas telme ill create sum4u!  Afterall, dost hote kis liye hai! 
",,,
spam,"Office space with Personal terrace @12 lac onwrds.. Regal emporia..The 1st mall of Noida Xtn. 12% Assured Return with Bank Guarantee. Sms IN to 54999
",,,
spam,"oogleNews Govt convenes meeting of CMs of Naxal-hit sta - thehindu.com PoK 'PM' asks Pak govt 2 put Kashmir issue on - www.hindustantimes.co
",,,
ham,"In a Botany class, Teacher-Its b'coz of the growth harmones, a ripen fruit falls off the tree! Sardar-Poor Newton! He thought they fall coz of gravity!;-) Gn 
",,,
spam,"Eat Good, Feel Good!,Don’t feel like wasting your Sunday in the kitchen? Choose one of these tasty healthy salads:
1) Apple Chicken Salad
2) Corn Salad
^1/2
Reply to get the recipe.",,,
spam,"Chikni Chameli,Who’s the item girl in the song ‘Chikni Chameli’ from Agneepath?
1) Kareena
2) Katrina
3) Malaika
^1/ 2/ 3
Reply within 24 hrs to know who Chikni Chameli is.",,,
ham,"I am driving
",,,
ham,"India Virende(R) 10dulk(A)r  Yuvra(J) Gaut(A)m   Rai(N)a Dhon(I)        (K)ohli HBh(A)jn ZKha(N)     Pa(T)el     As(H)win RAJANIKANTH jisme ho wo haregi kya? 
",,,
ham,"I m here.
",,,
spam,"ORIGINAL EK MUKHI RUDRAX Offer !! Just Rs.1500/-, +Parad Shivling+Maha Yantra+ADO-VDO CD+Navratna Ring Gift !! Order US.09560393611.
",,,
spam,"Most prestigious project Sec 68 Ggn lowest price Sample flat 90% ready Good invest/use 1KM from Extn.Road Book@3750/sqft  revising 4000/sqft 9899626438
",,,
spam,"Painting your Dream Home? Get Professional Colour Advice,  Latest Trends & Painting Services from Dulux Decorator Center near you. SMS Dulux to 56263",,,
ham,"Hve u atended phy workshop
",,,
spam,"Planning to upgrade your mobile? Checkout the new Nokia N8 - 12MP camera,  HD video,  Ovi music unlimited & more. Visit http://ct.nokia.com?VT0T7-17730",,,
spam,Required:Confident & Skilled TELECALLERS-40 for AVIS INFOTECH in West Patel Nagar Opp metro pillar 229 Sal:Rs7000-12000 +Incentives Call 4 Job: 9654984987,,,
spam,"Who started the First Freedom Movement in India? 1) Subhash Chandra Bose 2) Mangal Pandey 3) Bhagat Singh ^1/ 2/ 3 All your replies to Blyk on Aircel are free.
",,,
spam,"New color SILVER CROCBAND added @ The Arcade, Kazi road, Gangtok.
",,,
spam,"PARAMOUNT PRESENTS EMOTIONS*2/3 BHK FLAT @ 19.30 Lac*Semi Modular Kitchn*Cupboard*R.O. System@ Noida ExtnFor Enquiry: 9212414825,9268572022
",,,
ham,"i wanted to tok abt my academic performance v/s urs. nw i dono y m day dreaming abt playing with u on next monday. n nw m wishing tht u get evrything done quickly n reach home evn quicker, so tht v cn tok. :)
",,,
spam,"Much awaited Sale Reebok FLAT 40 % OFF @ The Aracde, Kazi road , gangtok ,  03592 202959
",,,
spam,"Phn no.-9229151516, acct no-936601835, plan name-v data retention unlimited@399 plan., bill no-1020678597, bil date.-5 may 11.inform yes or no before 4 clock n tell them to resume services soön.",,,
ham,"In lif, dnt b slow so dat U miss me .. ..Dnt be 2 fast dat I miss U .. ..Jst Be Wid me, So dat we R 2gethr 4 d MOMENT called FOREVER.. ...:-) tc
",,,
ham,"i rely rely hope ur able to go shopping wid me today or tom. tc.
",,,
spam,RELIANCE HI-SPEED DATACARD Rs.1599 UNLIMITED PLAN @750 PAY Rs.149 & GET LAPTOP BAG + 6GIFT CALL - 9381760004 www.netclubindia.com,,,
spam,"njoy Unlimited Trading for Rs. 699 p.m(T & C apply). SMS 'JTN to 56767' for details please visit: www.justtrade.i
",,,
spam,"With 3G enjoy fast internet, video calling & video entertainment! Send 3G to 121 or recharge with Rs99 & get 100MB data free, thereafter charges-30p/20Kb apply.",,,
ham,"If the whole world is agnst U & u r alone on 1 side den wat wil u do? It's simple Jst turn back & u wil becom leader of d whole world. Dats d attitude 
",,,
ham,"I Wish Our Friend Ship Comes To An End Only When U See An Apple In An Orange Tree Which Is Being Eaten By a Dinosar On The 30th Of Feb..Gud nyt..:)
",,,
spam,Rs 2999 for Unlimited IMFL & Food on Christmas for Couples @ RubyTuesday / Salon Care @ Rs 175 (Noida) / 94% on Alternative Therapies. Visit www.snapdeal.com,,,
spam,"Mubarak ho On popular Demand your three days free subscription of ANA service has been extended till 3 Feb'11,  For more Dial 5433402 & subscribe @ Rs 30/30 Days
",,,
spam,"O filter every Three month service karwaye aur paani se utpan bimari se bache for SERVICE / AMC ke liye Call karey- 931122024
",,,
ham,"I just wntd to say wn u wnt me i m always dre 4 u. Wnevr u wnt to talk or sumthng feel fre to... N plz stop spoilng ur lyf
",,,
spam,Rs 165 for Unlimited Biryani @ Pure Punjabi / 83% off Strength Gym & Spa/ Rs 50 for 2 gift vouchers worth Rs 500 on Tradus.in. Visit www.snapdeal.com,,,
spam,"Orgnizd by PURNAM Volunteers of AKSHAY PRATISHTHAN GR8 Shopping xtrvagnza at Ashok hotel 22Apr only 10-9pm Xslusive Range Of Products frm across Indi
",,,
ham,"I asked my heart: Why cant I sleep at night? . . . . . . . My Heart told me Because you already slept in the afternoon.. Dont act like Ure in love;)
",,,
ham,"Why do Muslims hate Pigs !!?becz-Pigs produce more babies than muslims..EGO PROBLEM.!
",,,
ham,"ife is like a race btwn Cat n Rat. Rat mostly wins coz the Cat is running 4 food n Rat 4 its Life.Remember 'Purpose' is more important than 'NeeD'..
",,,
spam,"The Final Hurrah!,Who won the final race of the 2011 F1 season?
1) Mark Webber
2) Sebastian Vettel
3) Lewis Hamilton
^1/ 2/ 3
Reply within 24 hrs to get a video FREE from Blyk on Aircel.
",,,
ham,"Hw
",,,
spam,"More than 4000 jobs in fields of IT, Sales, Finance, Media, Call Center, HR, Acc. & more.Submit your Resume on www.jobsansaar.com. Portal with maximum vacancies.
",,,
ham,"Imitinef Mercilet' is a medicine which cures blood cancer. Its available free of cost at Adyar Cancer Institue in Chennai, Banglore, Trivandrum, Kovai Rama Krishna hospital. Create Awareness. It might help someone. Forward to as many as U can. IF NOT, 4WARD ATLEAST 2 ONE WHO CAN FORWARD MANY. 
",,,
spam,"RMS Group presents Luxury Living & Quality Lifestyle,  from Rs.21L SIGNATURE RESIDENCY Tronica City, 12km from DU Metro, 2/3/4 BHK with Club, Swim &Gym, M-7838222305",,,
ham,"I always thot that everythin happens 4 a reason... Bt later on i realized,that sumtimes reasons r not enough 2 explain why anything happned..! Gud mrng. Hw r u? 
",,,
ham,"If Love is your greatest weakness then you will be the strongest person in the world. - Rabindranath Tagore
",,,
spam,"Now Order & Pay for Dominos Pizza using Mobile App. Goto www.ngpay.com/dominoswap to download app. & Get 25% Off,  Min bill Rs.300.Coupon:AL25A.Vld:30Apr.T&C
",,,
spam,"Welcome back to Airtel! Call 121312 Toll Free to know your BEST FULL TALKTIME RECHARGE OFFER. Aaj BAARAH TERAH BAARAH lagaya kya? Call 121312 Toll Free now!!
",,,
spam,"ne Door Step Service for PAN Card Passport Assistance and Income Tax Return Contact ONS 9911730199 Krishna Complex Jwala Heri Mkt Paschim Viha
",,,
spam,"pgrade ur Grand Perks Membership & take full advantages- Visiting Cards Letter Heads Free Insurance Extra Commission Pay Direct Card & more-Sent 4rm 160by2.co
",,,
ham,"I have also got same info from my tg thanks.
",,,
ham,"I had some prob. Financial crisis 4 me since im goin to chennai on 23. And Pallab havin de plan to go to meet his friend.
",,,
spam,"OWN YOUR DREAM HOME at a special DISCOUNTED RATE!2/3 bhk in sector 103, gurgaon available at special rates only till 28th feb.Call Team Agni now 9212255555.hurry",,,
spam,"King Of Clay,Is Rafael Nadal the greatest clay court player?
^Yes/No
Reply within 24 hrs to get a video.
",,,
ham,"Who told u
",,,
spam,"H-D Musical Event,Can you guess the name of Harley-Davidson's Mega Music event in India?
1) Rock Riders
2) Roadies
3) Indian Idol
^1/2/3
Reply within 24 hrs to get a video.",,,
ham,"I slit the sheet - the sheet I slit - and on the slitted sheet I sit. 
",,,
spam,Revise your income tax return the easy way Vidya Balan avoids sleeveless tops for The Dirty Picture For more news visit www.oneindia.in,,,
ham,"In Europe they didn't know what 'shortage' meant. In China they didn't know what 'opinion' meant. In the Middle East they didn't know what 'solution' m 
",,,
spam,"Property Bhi Aapki Rent Bhi Aapka, Invest Rs 17k Lacs in Fully Furnished Office Spaces & Earn Rs 17k per Month Wid Bank Guarantee, Noida Cont.9990584817",,,
ham,"If destiny favours u 1 day n u r asked what u want  2 be, dont wish 2 be someone else because u r wonderful d way U r! Gud mrng ....
",,,
spam,"NON-STOP INTERNET. Enjoy UNLIMITED BROWSING with Pocket Internet. Dial *234*2900# OR visit your retailer & recharge PI29 to enjoy unlimited High Speed Internet.
",,,
spam,"National Roaming par 60% ki bachat,  saath hee Rs40 ka muft talktime sirf Rs45 ke recharge pe. Roaming rate ki jaankari ke liye bhejiye ROAMING 121 par.
",,,
spam,Reliance Datacard @1599 UNLIMITED PLAN@750 PAY RS.149 & GET LAPTOP BAG + 6GIFT CALL-9382222111 www.netclubindia.com,,,
ham,"I brought a cool t shirt and a belt . I dont know he ll like belt or not.  
",,,
spam,"Na CHEMSTRY hoti, Na mai iska stdnt hota, Na ye lab hoti, Na ye heart accidnt hota..Prctcl k din nazar ayi 1 ladki khubsurat si,  Uski nak bilkul TEST TUBE Ab paye 200 Local Aircel to Aircel mins . Aaj hi recharge kare keval Rs45 se. Ek RC mein itna kuch sirf Aircel ke sath hi mil sakta hai! Validity 60 days.
",,,
spam,"Roaming pe incoming 60p/min par,  outgoing par 60% ki bachat sirf Rs99 mein. Aur Delhi se ki gayi local/STD 1p/sec par. Jaankari ke liye bhejiye ROAMING 121 pe.",,,
ham,"I need U 
",,,
spam,"Love Triangle,Who would you like to see Bella end-up with in the ‘Twilight Saga’?
1) Edward Cullen
2) Jacob Black
^1/2
Reply within 24hrs to get a video clip.
",,,
ham,"If sumbody rejects u, dont worry:- Bt live lyf in such a way dat they must say in future, oh i made a mistake by rejectng dat person...
",,,
ham,"I thnk u sent d msg to wrng prsn...n i'm nt cmng tmrw so kal baithk pura kar lungi...evn 7 ques....
",,,
spam,"Federer Wins!,How many times has Roger Federer won the ATP Tour Finals?
1) 4
2) 5
3) 6
4) I'm not interested in Tennis
^1/ 2/ 3/ 4
Reply within 24 hrs to get a video FREE from Blyk on Aircel.
",,,
spam,"Now do not miss your favorite Tv serials, watch Sony, Zoom and lot More live only on your Aircel Popkorn. Click:
",,,
ham,"I know chotu wat de see means and wat u meant . But i thought chotu can not use phrases so tats wy asked .
",,,
spam,"No holidays! No Sundays! Now Send and Receive money instantly, anytime from your mobile. Contact your bank to know more or visit www.npci.org.in/aboutIMPS.aspx
",,,
spam,"Mubarak ho! Aapko diya ja raha hai 'AnA' Service Ka FREE SUBSCRIPTION. For more details Dial 5433402 Toll-Free
",,,
spam,REE PoloClub watch for 500 earlybirds spending Rs 2000+ on HDFCBank DebitCard in a week.Week starts every Thu.Win every week till 30Sep.T&,,,
spam,"Property Doctors Recommends 3Cs new project ZING/Sec-168/Noida Expreswy, 1/2/3/4BHK Flats? Rs17.5Lac onwards.Fr BEST DEAL & DOORSTEP DEMO:9811591348",,,
spam,"On this Valentines day speak to ur Hearts Content!On E-Rech 17 get FULL TT of Rs17 to be used in same day.Rush now offer till 16 Feb.Reliance
",,,
ham,"Indian Team Penalized by Animal Activists for Hunting 11 Kangaroos ...Team To Pay Penalty by Hunting 11 terrorist today.. Mission begins.
",,,
spam,"PARAMOUNT presnt FLORAVILLE ab payen apne sapno ka ghr at X-WAY Noida Sec-137Near Metro St.Booking  of 2/3BHK only atRs2975/-sq.ft sms/mailid/call-8800298965
",,,
spam,"Reliance 2G datacard in 1500/-speed upto   3.1mbps, Unlimited downloading plan   available & 3G datacard in 2500/-speed upto   7.2 mbps pls call-8826000951",,,
spam,"Guess?,What is iCloud?
1) Intelligent Monsoon Clouds
2) Inflight Entertainment Device
3) Virtual Hard Disk 
^1/2/3
Reply within 24 hrs to get the answer.",,,
spam,"Mobile Office is active on your number. To use these services,  pls save the settings you are about to receive. Visit Airtel Live for free Airtel Jingle. No activation charge or monthly rentals apply for Airtel Live and MMS. You only pay if you send an MMS or download content. For details call 121 (Toll free).
",,,
spam,"NR Switch N Radio are looking for fresh engg grads in EC and EE. 8 weeks Training in GSM and CDMA. Registration and Test on 11 Apr For Details Call 0969021234
",,,
ham,"I m nt doing anythn
",,,
ham,"I know . Wen i opened face book now. It showed 9 msg but wen i clicked u were offline.
",,,
spam,"ORRIS presnts 'Aster Court' Sec-85,  Gurgaon *2/3/4 Bhk flat@2450/p.s.ft *Rush n Avail da best location sms IL to 54999 Xclusvly marktd by Invstrs Clnc
",,,
spam,"Where to celebrate 31st night? Call ZatSe, Aap Ki Information helpline at 011-68006800 for details about parties in your area.
",,,
spam,"Pai International Electronics World Cup Offer. Win 5 Chevrolet Spark Cars, LCDs, Digital Cameras,  MicroOvens & many more, Lucky Draw coupon on Rs2000 & above T&C",,,
ham,"I saw de videos in de Pallabs lap itself. I need to know how u implemented de speech processin in de robo .
",,,
ham,"If u learn to translate evry event of ur life into a +ve one, u wil stop being a prisoner of ur past n bcm designer of ur future.. :-)Gudnt:)
",,,
spam,"Pay Rs3400 for 1TB Seagate Expansion External Drive worth Rs7490. USB2.0 connect,  3 Yrs warranty. Rs50 xtra COD.  Sms EHD to +919686446386 or mGinger.com/d/24",,,
spam,"Never Before Offer BY ANSAL API!!Book 2 bhk + kids room in sec 91 gurg @ NEVER BEFORE PRICE OF Rs 42.8 lac only.To avail best offer Call Team Agni 9212255555
",,,
spam,"PARAMOUNT PRESENTS FLORAVILLE*2/3 BHK E-Homes@ 28.47Lacs. Sector 137, Expressway,  Noida.For Enquiry:9268572028,9212359576
",,,
ham,"I say Crazy Things When m Hyper but dont do them...I say Stupid Things Wen m Angry bt dont mean them...I say Hurtful Things Wen m Hurt bt dont mean to Q. Write an assy on SARDAR.ANS. Sardar ek vichitra prani hai,Yeh punjab K talhati mei paya jata hai,Guruparv K din yeh bhaari sankhya me dekhne ko milt38%doc in USA r INDIANS12%scntist in US r INDIANS36%NASA scintists r INDIANS34%Micrsoft emplyes r INDIANS            17%INTEL emplyes r INDIANShurt uI say Silly Things without thinking but laugh at myself later...To all my Friends who Ignore my crazy talk, Laugh at my Silliness...Forgive me hain,Langar hi inka paustik aahar hai,Yeh chutkule banane K kaam aate hain,Janam lene K 16 saal tak nar-mada me koi antar nahi paya jata hai,16 saal K                   28%IBM emplyes r INDIANS            INDIANS r Gr8...Bt INDIA is NT..!If al dese brainful fools hd wrkd 4 India,v wud hav raced USe if i had ever hurt you...ThankZzZ for Accepting Me as I am....  baad mada apsara aur nar ek bhayankar rup dharan kar lete hain,12 baje K karib inke nikat nahi jana chahiyeYe hanikarak sidh ho sakte h... So tak care
",,,
spam,"Plots in Gurgaon on Golf Course Extn Road & on NH-8,  200-500 sq.yds by reputed builders. For details sms SIL RE 57333",,,
ham,"indgi me kabi aisa bhi nazara ho. Dil ko mere kisi ne hasrat se pukara ho. chandni raat ho nadi ka kinara ho. Namkeen aapki ho aur quatar humara ho cher
",,,
ham,"If u dnt wnt to tel its fyn wid me
",,,
spam,"NOW GET FULL TALKTIME ! Recharge Rs55 and get full talktime of Rs55 with 10 Days Validity. Hurry Recharge Now and stay connected with Aircel.
",,,
ham,"I msng u a lot.so gvng u msd cals. Bt abi yaad aya ki tu ghar par h...sry 4 dat....
",,,
spam,"Power Pack With FREE TalkTime! Recharge with Rs150 & get Rs50 TT + call locA2A @ 10p/min, locA2O @ 30p/min & all STD calls @ 45p/min, valid for 6 months.Hurry.",,,
ham,"I believe there are more urgent and honorable occupations than the incomparable waste of time we call suffering. 
",,,
